Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
18-24,Female,Postgraduate,<500,Working Professional,Sri Lanka,West Richard,Married,No,Not applicable,Laptop/PC,Average,>6,Night,One-on-one,2,Other,Often,Influencer post,Yes,Appealing,"Parental suggestion, Career growth, Certification, Skill development, Other","Improve current job skills, Networking, Start a business, Pass exams","Exam prep, Science, Technology, Other, Humanities","Recorded videos, Gamification, Quizzes, Other, Live classes","Flexibility, Customer support, Content quality, Price","Distractions, Poor internet, Boring content, Time management, Lack of support, Other",3,0,No,Parental advice,No,Monthly subscription,10-20,"No payment method, Complicated signup, Prefer free content, Not enough content, Price",3,Yes,"Quizzes, Leaderboards, Notes/highlighting, Other, Discussion boards, Community forums","Byju’s, edX, Coursera, Udemy, Unacademy, None",More languages
35-44,Female,Undergraduate,2000-5000,Working Professional,Paraguay,Lake Wendyburgh,Single,No,Not applicable,Laptop/PC,Good,4-6,Afternoon,Self-paced,3,Instagram,Never,Text,Yes,Appealing,"Skill development, Other, Hobby learning, Peer recommendation","Pass exams, Earn certifications, Improve current job skills, Networking","Technology, Other, Languages, Humanities, Business, Exam prep","Quizzes, Recorded videos, Gamification, Live classes, Peer interaction, Certificates","App design, Content quality, Price, Flexibility, Peer reviews, Customer support","Lack of support, Lack of motivation, Boring content, Distractions, Time management, Poor internet",4,1-2,Yes,Trust in brand,No,Monthly subscription,20-50,"Lack of reviews, Other, Complicated signup, Not enough content",4,Yes,"Downloadable resources, Discussion boards, Quizzes, Leaderboards","Skillshare, edX, Coursera, Udemy, Khan Academy, Other",More courses
18-24,Male,Undergraduate,<500,Working Professional,Armenia,Randyfort,Single,Yes,Not applicable,Smartphone,Average,4-6,Evening,Live classes,3,Instagram,Never,Image,Yes,Very unappealing,"Hobby learning, Exam preparation, Other, Academic help","Start a business, Pass exams, Other, Improve current job skills","Exam prep, Science, Arts, Technology, Business, Languages","Recorded videos, Live classes, Offline access, Gamification, Quizzes","App design, Flexibility, Content quality, Peer reviews, Customer support, Tutor quality","Technical issues, Distractions, Cost, Lack of motivation, Poor internet",5,1-2,Yes,Interesting content,Yes,Pay per course,20-50,,3,No,"Progress tracking, Downloadable resources, Discussion boards, Other","None, Coursera, Skillshare, edX, Byju’s, Other",More live sessions
18-24,Female,Postgraduate,500-1000,Working Professional,Iraq,Lake Corey,Single,Yes,Yes,Tablet,Good,2-4,Evening,One-on-one,5,Google Search,Rarely,Influencer post,Yes,Very appealing,"Academic help, Skill development, Certification, Peer recommendation, Career growth, Hobby learning","Improve current job skills, Earn certifications, Networking, Switch careers, Other","Exam prep, Languages, Humanities, Science, Business, Arts","Offline access, Personalized content, Peer interaction, Other","Customer support, Other, Tutor quality, Price, Certification, App design","Other, Lack of motivation, Technical issues, Distractions, Cost",5,>10,Yes,Lack of interest,No,Monthly subscription,<10,"Prefer free content, Lack of reviews, Price, Privacy concerns, Not enough content, Other",1,Yes,"Community forums, Discussion boards, Downloadable resources, Notes/highlighting","Byju’s, Khan Academy, Coursera, Udemy, None",More courses
18-24,Female,High School,1000-2000,Student,Japan,Bradyville,Single,No,Not applicable,Laptop/PC,Good,2-4,Early morning,Self-paced,2,Instagram,Rarely,Video,Somewhat,Neutral,"Career growth, Exam preparation, Peer recommendation, Parental suggestion, Other, Hobby learning","Switch careers, Other, Pass exams, Networking, Personal enrichment, Improve current job skills","Other, Exam prep, Technology, Arts, Humanities","Personalized content, Certificates, Offline access, Gamification, Quizzes","Certification, Tutor quality, Other, Content quality, App design, Price","Other, Cost, Boring content, Lack of motivation, Poor internet",5,1-2,No,Unclear benefits,No,Pay per course,10-20,"Not enough content, Complicated signup, Privacy concerns, Price",4,Yes,"Progress tracking, Notes/highlighting, Quizzes, Downloadable resources","Udemy, None, Byju’s, Other",More languages
18-24,Female,Undergraduate,500-1000,Student,Bahrain,Port Marilynborough,Single,No,Not applicable,Other,Excellent,2-4,Night,Self-paced,5,Google Search,Never,Image,Yes,Appealing,"Certification, Other, Hobby learning, Peer recommendation, Academic help","Switch careers, Get a new job, Earn certifications, Networking, Personal enrichment, Pass exams","Arts, Technology, Exam prep, Business, Science","Personalized content, Gamification, Other, Quizzes, Peer interaction, Live classes","Certification, Tutor quality, Customer support, Other, Peer reviews","Cost, Lack of support, Poor internet, Time management",5,3-5,No,Trust in brand,No,Pay per course,50-100,"Prefer free content, Price, Complicated signup, Not enough content, Lack of reviews, Privacy concerns",3,No,"Notes/highlighting, Other, Progress tracking, Community forums, Live sessions","edX, Byju’s, Other, Coursera, Udemy",More live sessions
35-44,Male,Undergraduate,500-1000,Student,Korea,Greeneton,Married,No,Not applicable,Smartphone,Good,1-2,Afternoon,Live classes,5,WhatsApp,Sometimes,Pop-up,Yes,Neutral,"Other, Career growth, Certification, Exam preparation, Hobby learning","Other, Earn certifications, Get a new job, Switch careers, Improve current job skills, Pass exams","Humanities, Technology, Exam prep, Business","Peer interaction, Certificates, Recorded videos, Live classes, Gamification, Other","Customer support, Certification, Price, Flexibility, Peer reviews, App design","Lack of motivation, Technical issues, Lack of support, Time management, Poor internet",5,1-2,Yes,Other,No,Pay per course,10-20,"Price, No payment method, Lack of reviews, Other, Complicated signup, Not enough content",5,Yes,"Quizzes, Discussion boards, Downloadable resources, Notes/highlighting","Udemy, Coursera, Skillshare, Byju’s, None, edX",Improved interaction
18-24,Male,Postgraduate,2000-5000,Student,Saint Lucia,Jameschester,Married,No,Not applicable,Smartphone,Good,4-6,Night,Live classes,4,Google Search,Sometimes,Video,Yes,Unappealing,"Career growth, Other, Peer recommendation, Parental suggestion, Exam preparation","Switch careers, Other, Pass exams, Earn certifications","Science, Arts, Business, Languages, Exam prep","Peer interaction, Live classes, Offline access, Quizzes","Content quality, Other, App design, Price, Certification, Tutor quality","Time management, Technical issues, Cost, Poor internet, Lack of support, Lack of motivation",3,>10,No,Interesting content,No,Pay per course,<10,"Price, Privacy concerns, Prefer free content, Other, Lack of reviews, No payment method",4,Yes,"Notes/highlighting, Discussion boards, Other, Leaderboards, Progress tracking, Community forums","edX, None, Unacademy, Byju’s",Better support
18-24,Male,Postgraduate,500-1000,Working Professional,Australia,East Whitneymouth,Single,No,Not applicable,Laptop/PC,Good,2-4,Afternoon,One-on-one,3,Facebook,Sometimes,Image,No,Neutral,"Peer recommendation, Exam preparation, Other, Parental suggestion, Skill development","Start a business, Pass exams, Improve current job skills, Personal enrichment, Networking","Exam prep, Languages, Arts, Science, Business","Gamification, Peer interaction, Quizzes, Personalized content, Other","Tutor quality, Price, Customer support, Certification, Other, Flexibility","Cost, Poor internet, Distractions, Other, Lack of motivation, Boring content",5,1-2,No,Unclear benefits,No,Pay per course,<10,"Privacy concerns, Price, No payment method, Complicated signup",5,Yes,"Quizzes, Notes/highlighting, Discussion boards, Downloadable resources","None, Udemy, Khan Academy, Coursera, Skillshare",Other
18-24,Female,Undergraduate,2000-5000,Student,Bosnia and Herzegovina,Port Cynthia,Married,Yes,No,Smartphone,Average,4-6,Night,One-on-one,4,Instagram,Rarely,Image,Somewhat,Neutral,"Parental suggestion, Skill development, Hobby learning, Certification, Other","Personal enrichment, Networking, Switch careers, Get a new job, Pass exams, Other","Arts, Science, Other, Languages, Business, Humanities","Quizzes, Personalized content, Recorded videos, Peer interaction, Offline access, Other","Flexibility, App design, Price, Other","Lack of motivation, Other, Distractions, Boring content, Poor internet, Time management",1,1-2,Yes,Value for money,No,Annual subscription,<10,"Complicated signup, Other, Price, Lack of reviews, Not enough content, Privacy concerns",3,No,"Discussion boards, Notes/highlighting, Downloadable resources, Community forums, Live sessions","Coursera, Other, Udemy, Khan Academy",More languages
