Timestamp,Age,Gender,Education,Monthly Income,Occupation,Marital Status,Device,Internet Quality,Courses Taken Last Year,Ad Views Count,Engagement Time (mins),Session Count (1st week),Click Through Rate,Signed Up,Paid Subscription,Satisfaction Level,App Comfort Level,Free Trial Willingness,Willingness to Spend,Retention 7 days,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Non-Subscription Reasons,Features Used Most,Other Apps Used
2025-05-07 02:51:32,35-44,Non-binary/Other,High School,>5000,Working Professional,Other,Smartphone,Poor,0,2,18.5,5,0.3,Yes,No,3,5,4,>100,No,"Certification,Hobby,Career Growth",Explore Topic,"Design,Science","Quizzes,Projects","Price,Reviews,Certification","Technical Issues,Language Barrier","Not Relevant,Lack Time,Too Expensive",Interactive Exercises,"Udemy,Skillshare,edX"
2025-05-18 04:05:41,45-54,Non-binary/Other,PhD,>5000,Working Professional,Divorced,Other,Excellent,1-2,7,151.9,3,0.42,Yes,Yes,4,3,2,<10,Yes,"Career Growth,Skill Development","Explore Topic,Improve Skills,Earn Certificate","Marketing,Science,Design","Videos,Peer Forum","Price,Content Quality","Time Management,Technical Issues,Motivation","Not Relevant,Lack Time","Downloadable PDFs,Video Lectures,Webinars","Khan Academy,edX"
2025-07-01 17:20:18,25-34,Female,Associate,2000-5000,Entrepreneur,Single,Laptop/PC,Poor,>10,6,14.7,2,0.03,No,No,4,3,5,10-20,No,"Networking,Certification",Explore Topic,"Science,Math","Projects,Quizzes","Certification,Instructor","Time Management,Technical Issues","Lack Time,Technical Issues","Webinars,Interactive Exercises","edX,Udemy,Skillshare"
2025-05-27 00:06:51,45-54,Prefer not to say,Master,<500,Homemaker,Divorced,Other,Excellent,>10,4,18.7,4,0.5,No,No,1,3,5,10-20,No,"Career Growth,Certification,Skill Development","Explore Topic,Complete Course,Earn Certificate",Design,"Projects,Peer Forum,Live Sessions","Reviews,Content Quality","Time Management,Motivation","Not Relevant,Too Expensive","Video Lectures,Forums,Interactive Exercises",Udemy
2025-06-20 07:24:10,45-54,Male,Associate,2000-5000,Working Professional,Married,Smartphone,Poor,0,3,10.7,3,0.19,No,No,3,1,4,<10,No,"Hobby,Skill Development,Certification",Improve Skills,"Marketing,Science",Projects,"Content Quality,Reviews","Technical Issues,Time Management,Motivation",Too Expensive,"Forums,Downloadable PDFs",Udemy
2025-06-15 10:45:42,18-24,Prefer not to say,PhD,500-1000,Student,Single,Smart TV,Average,>10,4,8.1,2,0.19,Yes,Yes,4,5,4,10-20,No,Career Growth,"Explore Topic,Earn Certificate",Marketing,"Videos,Peer Forum,Quizzes","Content Quality,Certification","Motivation,Technical Issues,Time Management","Technical Issues,Not Relevant,Too Expensive",Forums,Skillshare
2025-06-22 07:33:05,25-34,Male,High School,>5000,Other,Divorced,Other,Excellent,1-2,5,76.6,4,0.09,No,No,1,5,4,20-50,Yes,"Career Growth,Skill Development,Certification","Complete Course,Earn Certificate","Programming,Math","Live Sessions,Videos","Instructor,Reviews","Language Barrier,Time Management,Technical Issues",Lack Time,"Downloadable PDFs,Interactive Exercises","Coursera,edX,Khan Academy"
2025-06-22 12:38:50,25-34,Non-binary/Other,Bachelor,<500,Other,Married,Laptop/PC,Average,1-2,2,41.4,3,0.11,No,No,5,5,4,10-20,Yes,"Skill Development,Networking","Complete Course,Explore Topic","Programming,Math",Projects,Certification,"Language Barrier,Motivation",Too Expensive,"Webinars,Interactive Exercises,Video Lectures","edX,Khan Academy"
2025-05-27 23:53:34,25-34,Male,PhD,500-1000,Entrepreneur,Married,Smart TV,Excellent,1-2,3,12.2,3,0.17,No,No,4,3,5,10-20,No,Skill Development,"Earn Certificate,Improve Skills","Programming,Math,Marketing","Projects,Live Sessions,Videos","Price,Certification,Content Quality","Language Barrier,Technical Issues","Too Expensive,Lack Time,Not Relevant","Forums,Webinars,Downloadable PDFs",Khan Academy
2025-06-02 13:54:18,45-54,Non-binary/Other,High School,500-1000,Working Professional,Single,Laptop/PC,Poor,6-10,3,36.1,4,0.33,Yes,Yes,3,3,4,10-20,Yes,"Skill Development,Networking",Explore Topic,"Design,Marketing",Videos,Certification,"Motivation,Technical Issues","Lack Time,Technical Issues","Downloadable PDFs,Video Lectures,Interactive Exercises","Skillshare,edX,Khan Academy"
